,yil,nufus,tuketim_dasimetrik,nufus_orani,ariza_sayisi,cevaplanan_ariza,sikayet_sayisi,cevaplanan_sikayet,kesinti_suresi_saat,kesinti_adet,egitim_tesisi_sayisi,sanayi_tesis_sayisi,ariza_yogunlugu,nufus_basi_tuketim,boru_stres_endeksi,sikayet_ariza_orani,ort_kesinti_suresi,komsu_ort_ariza,komsu_sayisi,ariza_trend
count,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0,1926.0
mean,2022.5,15928.559190031152,915229.727933541,0.040498442367601244,288.66770508826585,288.0160955347871,84.95067497403946,83.90965732087227,48.76147203472944,8.809968847352025,3.2471443406022846,2.3385254413291796,126.01410730730647,59.39109245780605,17303.20499071373,0.3181116821071757,6.1313992965712725,296.8710540100569,5.615784008307373,0.06965403757887392
std,0.500129853267999,16555.122584393233,914748.9508256523,0.0393878705995963,229.42795584960444,228.7454707533022,76.4919665219905,75.52638579227492,50.198415015201704,7.550021883450897,4.96472540373379,15.82871435512801,1187.3842241625314,16.492812068418367,13889.582314679952,0.26505626215544886,9.05320304013344,170.07418431306823,2.0471938559191125,0.3857964262358892
min,2022.0,10.0,547.8476416287042,4.049590123628201e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.283282055922538,0.0,0.0,0.0,11.333333333333334,0.0,-0.7435897435897436
25%,2022.0,3004.75,150007.68686725618,0.012225347390198468,107.0,107.0,24.0,23.0,12.029166666666667,3.0,0.0,0.0,11.387663641170239,52.55154986247373,6084.8265625707,0.15,2.6479930555555558,162.6,4.0,0.0
50%,2022.5,11097.0,694465.7275060927,0.029587308428804415,225.5,225.0,63.0,63.0,28.541666666666668,7.0,2.0,0.0,21.061800241704077,58.26686581587841,13798.516251331177,0.25192219383249537,3.6194444444444445,278.125,5.0,0.0
75%,2023.0,24392.5,1378246.2513761884,0.05792777735756972,414.75,413.75,122.0,121.0,62.90201388888889,12.0,4.0,1.0,43.84971827508524,67.65854814768763,25073.41339572428,0.403547311387644,5.39765625,408.15,7.0,0.05018169903491004
max,2023.0,117163.0,7157495.263653386,0.27771500313873193,877.75,872.75,273.5,270.0,145.89291666666668,50.0,70.0,358.0,35476.19047619047,108.08334903423231,77411.50603971859,2.8205128205128207,72.94645833333334,837.2,16.0,7.818181818181818
