ilce,mahalle,anahtar,yil,nufus,tuketim_dasimetrik,nufus_orani,ariza_sayisi,cevaplanan_ariza,sikayet_sayisi,cevaplanan_sikayet,kesinti_suresi_saat,kesinti_adet,egitim_tesisi_sayisi,sanayi_tesis_sayisi,ariza_yogunlugu,nufus_basi_tuketim,boru_stres_endeksi,sikayet_ariza_orani,ort_kesinti_suresi,komsu_ort_ariza,komsu_sayisi,ariza_trend
SARIYER,GÜMÜŞDERE,SARIYER|GÜMÜŞDERE,2022,368,30993.44911761598,0.0012152594314699355,111.0,111.0,12.0,12.0,48.0,7.0,2.0,2.0,301.6304347826087,84.22132912395647,9348.567532759167,0.10810810810810811,6.857142857142857,168.75,4,0.0
SARIYER,HUZUR,SARIYER|HUZUR,2022,8408,708132.935274226,0.027766036140758746,195.0,195.0,25.0,25.0,20.333333333333332,8.0,2.0,0.0,23.19219790675547,84.22132912395647,16423.15917917151,0.1282051282051282,2.5416666666666665,391.34375,8,0.0
SARIYER,KAZIM KARABEKİR PAŞA,SARIYER|KAZIM KARABEKİR PAŞA,2022,7943,668970.0172315862,0.02623045017436331,357.0,357.0,68.0,68.0,69.11666666666666,13.0,0.0,0.0,44.945234797935285,84.22132912395647,30067.014497252458,0.19047619047619047,5.316666666666666,216.8,5,0.0
SARIYER,KISIRKAYA,SARIYER|KISIRKAYA,2022,3530,297301.2918075663,0.011657244002958892,47.0,47.0,3.0,3.0,43.35,6.0,0.0,0.0,13.314447592067989,84.22132912395647,3958.4024688259537,0.06382978723404255,7.2250000000000005,175.0,4,0.0
SARIYER,KOCATAŞ,SARIYER|KOCATAŞ,2022,4473,376722.00517145725,0.014771346296100602,245.0,245.0,61.0,61.0,34.11666666666667,6.0,1.0,0.0,54.77308294209703,84.22132912395647,20634.225635369334,0.24897959183673468,5.686111111111111,385.6666666666667,6,0.0
SARIYER,KUMKÖY (KİLYOS),SARIYER|KUMKÖY (KİLYOS),2022,386,32509.433041847195,0.001274701468878791,279.0,279.0,15.0,15.0,51.21666666666667,8.0,3.0,0.0,722.7979274611399,84.22132912395647,23497.750825583855,0.053763440860215055,6.402083333333334,149.33333333333334,3,0.0
SARIYER,KİREÇBURNU,SARIYER|KİREÇBURNU,2022,6888,580116.515005812,0.022746486315122053,212.0,212.0,64.0,64.0,110.43333333333334,16.0,0.0,0.0,30.778164924506388,84.22132912395645,17854.921774278766,0.3018867924528302,6.902083333333334,404.0,2,0.0
SARIYER,MADEN,SARIYER|MADEN,2022,15400,1297008.4685089295,0.05085596533868752,416.0,416.0,145.0,145.0,100.78333333333333,22.0,0.0,0.0,27.01298701298701,84.22132912395647,35036.07291556589,0.3485576923076923,4.581060606060606,392.75,4,0.0
SARIYER,MASLAK,SARIYER|MASLAK,2022,1226,103255.34950597062,0.004048663214625383,328.0,328.0,24.0,24.0,31.133333333333333,4.0,1.0,1.0,267.53670473083196,84.22132912395647,27624.59595265772,0.07317073170731707,7.783333333333333,363.09375,8,0.0
SARIYER,PINAR,SARIYER|PINAR,2022,1118,94159.44596058333,0.0036920109901722497,432.0,432.0,187.0,187.0,39.13333333333333,7.0,2.0,0.0,386.4042933810375,84.22132912395647,36383.614181549194,0.43287037037037035,5.59047619047619,262.5,4,0.0
SARIYER,POLİGON,SARIYER|POLİGON,2022,6494,546933.3113309733,0.02144536616295044,204.0,204.0,107.0,107.0,42.63333333333333,10.0,1.0,0.0,31.413612565445025,84.22132912395647,17181.15114128712,0.5245098039215687,4.263333333333334,373.75,4,0.0
