_id,Yil,Ilce,Mahalle,Gelen Ariza,Cevaplanan Ariza
98,2022,BAHÇELİEVLER,KOCASİNAN MERKEZ MAH,802,802
99,2022,BAHÇELİEVLER,SİYAVUŞPAŞA MAH,534,534
100,2022,BAHÇELİEVLER,SOĞANLI MAH,597,597
101,2022,BAHÇELİEVLER,ŞİRİNEVLER MAH,526,526
102,2022,BAHÇELİEVLER,YENİBOSNA MERKEZ MAH,454,454
103,2022,BAHÇELİEVLER,ZAFER MAH,556,556
104,2022,BAKIRKÖY,ATAKÖY 1.KISIM MAH,26,26
105,2022,BAKIRKÖY,ATAKÖY 2-5-6.KISIM MAH,72,72
106,2022,BAKIRKÖY,ATAKÖY 3-4-11.KISIM MAH,73,73
107,2022,BAKIRKÖY,ATAKÖY 7-8-9-10.KISIM MAH,86,86
108,2022,BAKIRKÖY,BASINKÖY MAH,63,63
109,2022,BAKIRKÖY,CEVİZLİK MAH,142,142
110,2022,BAKIRKÖY,KARTALTEPE MAH,420,420
111,2022,BAKIRKÖY,OSMANİYE MAH,242,231
112,2022,BAKIRKÖY,SAKIZAĞACI MAH,91,91
113,2022,BAKIRKÖY,ŞENLİKKÖY MAH,278,276
114,2022,BAKIRKÖY,YENİMAHALLE,57,57
115,2022,BAKIRKÖY,YEŞİLKÖY MAH,349,349
116,2022,BAKIRKÖY,YEŞİLYURT MAH,44,44
117,2022,BAKIRKÖY,ZEYTİNLİK MAH,109,109
118,2022,BAKIRKÖY,ZUHURATBABA MAH,328,328
119,2022,BAŞAKŞEHİR,ALTINŞEHİR MAH,549,549
120,2022,BAŞAKŞEHİR,BAHÇEŞEHİR 1.KISIM MAH.,490,490
121,2022,BAŞAKŞEHİR,BAHÇEŞEHİR 2.KISIM MAH.,696,696
122,2022,BAŞAKŞEHİR,BAŞAK MAH,315,315
123,2022,BAŞAKŞEHİR,BAŞAKŞEHİR MAH,227,227
124,2022,BAŞAKŞEHİR,GÜVERCİNTEPE MAH,732,732
125,2022,BAŞAKŞEHİR,İKİTELLİ OSB,671,671
126,2022,BAŞAKŞEHİR,KAYABAŞI MAH,428,428
127,2022,BAŞAKŞEHİR,ŞAHİNTEPE MAH,1439,1439
128,2022,BAŞAKŞEHİR,ŞAMLAR MAH,143,143
129,2022,BAŞAKŞEHİR,ZİYA GÖKALP MAH,340,340
