ILCE,MAHALLE,NUFUS_2022,NUFUS_2023
BEYOĞLU,KEÇECİ PİRİ,14028,13804
BEYOĞLU,KILIÇALİ PAŞA,2296,2241
BEYOĞLU,KOCATEPE,1419,1319
BEYOĞLU,KULAKSIZ,9283,9005
BEYOĞLU,KULOĞLU,1404,1374
BEYOĞLU,KÜÇÜK PİYALE,8808,8634
BEYOĞLU,MÜEYYETZADE,602,584
BEYOĞLU,PÜRTELAŞ HASAN EFENDİ,1855,1795
BEYOĞLU,PİRİPAŞA,15698,15429
BEYOĞLU,PİYALEPAŞA,21265,20794
BEYOĞLU,SURURİ MEHMET EFENDİ,4157,3987
BEYOĞLU,SÜTLÜCE,12177,11843
BEYOĞLU,TOMTOM,657,738
BEYOĞLU,YAHYA KAHYA,3175,3144
BEYOĞLU,YENİŞEHİR,5726,5331
BEYOĞLU,ÇATMA MESCİT,2136,2046
BEYOĞLU,ÇUKUR,3010,2390
BEYOĞLU,ÖMER AVNİ,2117,1985
BEYOĞLU,ÖRNEKTEPE,15615,15386
BEYOĞLU,İSTİKLAL,4943,5036
BEYOĞLU,ŞAHKULU,1390,1469
BEYOĞLU,ŞEHİT MUHTAR,1311,117
BEŞİKTAŞ,ABBASAĞA,5274,5138
BEŞİKTAŞ,AKAT,15038,14561
BEŞİKTAŞ,ARNAVUTKÖY,3616,3465
BEŞİKTAŞ,BALMUMCU,3059,3028
BEŞİKTAŞ,BEBEK,5237,5142
BEŞİKTAŞ,CİHANNÜMA,3652,349
BEŞİKTAŞ,DİKİLİTAŞ,1615,15149
BEŞİKTAŞ,ETİLER,11258,10541
BEŞİKTAŞ,GAYRETTEPE,10250,10028
BEŞİKTAŞ,KONAKLAR,14484,13858
BEŞİKTAŞ,KURUÇEŞME,3091,2975
BEŞİKTAŞ,KÜLTÜR,4834,4679
BEŞİKTAŞ,LEVAZIM,5961,5667
BEŞİKTAŞ,LEVENT,2723,2790
BEŞİKTAŞ,MECİDİYE,10141,981
BEŞİKTAŞ,MURADİYE,4667,4559
BEŞİKTAŞ,NİSBETİYE,11569,11235
BEŞİKTAŞ,ORTAKÖY,8432,8111
BEŞİKTAŞ,SİNANPAŞA,2478,2145
BEŞİKTAŞ,TÜRKALİ,9996,9696
BEŞİKTAŞ,ULUS,6750,6432
BEŞİKTAŞ,VİŞNEZADE,5957,7959
BEŞİKTAŞ,YILDIZ,5496,5431
BÜYÜKÇEKMECE,19 MAYIS,12900,12610
BÜYÜKÇEKMECE,AHMEDİYE,1154,1099
BÜYÜKÇEKMECE,ALKENT 2000,6619,7209
BÜYÜKÇEKMECE,ATATÜRK,27272,26628
BÜYÜKÇEKMECE,BAHÇELİEVLER,4153,4318
BÜYÜKÇEKMECE,CELALİYE,6943,7206
BÜYÜKÇEKMECE,CUMHURİYET,8924,8485
BÜYÜKÇEKMECE,DİZDARİYE,6687,6476
BÜYÜKÇEKMECE,EKİNOBA,14379,14771
BÜYÜKÇEKMECE,FATİH,19323,18714
BÜYÜKÇEKMECE,GÜZELCE,11263,11540
BÜYÜKÇEKMECE,HÜRRİYET,2296,22809
BÜYÜKÇEKMECE,KAMİLOBA,8636,8901
BÜYÜKÇEKMECE,KARAAĞAÇ,4792,5231
