_id,YIL,ILCE,MAHALLE_ADI,GELEN ARIZA,GIDERILEN ARIZA
97,2023,BAHÇELİEVLER,FEVZİ ÇAKMAK MAH,65,55
98,2023,BAHÇELİEVLER,HÜRRİYET MAH,208,187
99,2023,BAHÇELİEVLER,KOCASİNAN MERKEZ MAH,259,191
100,2023,BAHÇELİEVLER,SOĞANLI MAH,281,210
101,2023,BAHÇELİEVLER,SİYAVUŞPAŞA MAH,290,249
102,2023,BAHÇELİEVLER,YENİBOSNA MERKEZ MAH,189,136
103,2023,BAHÇELİEVLER,ZAFER MAH,206,159
104,2023,BAHÇELİEVLER,ÇOBANÇEŞME MAH,74,69
105,2023,BAHÇELİEVLER,ŞİRİNEVLER MAH,239,217
106,2023,BAKIRKÖY,ATAKÖY 1.KISIM MAH,2,2
107,2023,BAKIRKÖY,ATAKÖY 2-5-6.KISIM MAH,13,13
108,2023,BAKIRKÖY,ATAKÖY 3-4-11.KISIM MAH,11,11
109,2023,BAKIRKÖY,ATAKÖY 7-8-9-10.KISIM MAH,27,27
110,2023,BAKIRKÖY,BASINKÖY MAH,12,12
111,2023,BAKIRKÖY,CEVİZLİK MAH,68,68
112,2023,BAKIRKÖY,KARTALTEPE MAH,220,220
113,2023,BAKIRKÖY,OSMANİYE MAH,68,68
114,2023,BAKIRKÖY,SAKIZAĞACI MAH,88,88
115,2023,BAKIRKÖY,YENİMAHALLE,14,14
116,2023,BAKIRKÖY,YEŞİLKÖY MAH,77,77
117,2023,BAKIRKÖY,YEŞİLYURT MAH,2,2
118,2023,BAKIRKÖY,ZEYTİNLİK MAH,89,89
119,2023,BAKIRKÖY,ZUHURATBABA MAH,109,109
120,2023,BAKIRKÖY,ŞENLİKKÖY MAH,263,263
121,2023,BAYRAMPAŞA,ALTINTEPSİ MAH,533,533
122,2023,BAYRAMPAŞA,CEVATPAŞA MAH,193,193
123,2023,BAYRAMPAŞA,KARTALTEPE MAH,730,730
124,2023,BAYRAMPAŞA,KOCATEPE MAH,253,253
125,2023,BAYRAMPAŞA,MURATPAŞA MAH,311,311
126,2023,BAYRAMPAŞA,ORTA MAH,186,186
127,2023,BAYRAMPAŞA,TERAZİDERE MAH,241,241
