_id,Yil,Ilce,Mahalle,Gelen Cagri Sayisi,Cevaplanan Cagri Sayisi
98,2022,BAHÇELİEVLER,SİYAVUŞPAŞA MAH,344,344
99,2022,BAHÇELİEVLER,SOĞANLI MAH,116,116
100,2022,BAHÇELİEVLER,ŞİRİNEVLER MAH,219,219
101,2022,BAHÇELİEVLER,YENİBOSNA MERKEZ MAH,110,110
102,2022,BAHÇELİEVLER,ZAFER MAH,253,253
103,2022,BAKIRKÖY,ATAKÖY 1.KISIM MAH,5,5
104,2022,BAKIRKÖY,ATAKÖY 2-5-6.KISIM MAH,14,14
105,2022,BAKIRKÖY,ATAKÖY 3-4-11.KISIM MAH,36,36
106,2022,BAKIRKÖY,ATAKÖY 7-8-9-10.KISIM MAH,35,35
107,2022,BAKIRKÖY,BASINKÖY MAH,34,34
108,2022,BAKIRKÖY,CEVİZLİK MAH,50,50
109,2022,BAKIRKÖY,KARTALTEPE MAH,408,408
110,2022,BAKIRKÖY,OSMANİYE MAH,85,85
111,2022,BAKIRKÖY,SAKIZAĞACI MAH,46,46
112,2022,BAKIRKÖY,ŞENLİKKÖY MAH,188,188
113,2022,BAKIRKÖY,YENİMAHALLE,13,13
114,2022,BAKIRKÖY,YEŞİLKÖY MAH,129,129
115,2022,BAKIRKÖY,YEŞİLYURT MAH,13,13
116,2022,BAKIRKÖY,ZEYTİNLİK MAH,107,107
117,2022,BAKIRKÖY,ZUHURATBABA MAH,68,68
118,2022,BAŞAKŞEHİR,ALTINŞEHİR MAH,141,141
119,2022,BAŞAKŞEHİR,BAHÇEŞEHİR 1.KISIM MAH.,123,123
120,2022,BAŞAKŞEHİR,BAHÇEŞEHİR 2.KISIM MAH.,211,211
121,2022,BAŞAKŞEHİR,BAŞAK MAH,74,74
122,2022,BAŞAKŞEHİR,BAŞAKŞEHİR MAH,119,119
123,2022,BAŞAKŞEHİR,GÜVERCİNTEPE MAH,247,247
124,2022,BAŞAKŞEHİR,İKİTELLİ OSB,177,177
125,2022,BAŞAKŞEHİR,KAYABAŞI MAH,78,78
126,2022,BAŞAKŞEHİR,ŞAHİNTEPE MAH,151,151
127,2022,BAŞAKŞEHİR,ŞAMLAR MAH,45,45
128,2022,BAŞAKŞEHİR,ZİYA GÖKALP MAH,90,90
129,2022,BAYRAMPAŞA,ALTINTEPSİ MAH,81,81
130,2022,BAYRAMPAŞA,CEVATPAŞA MAH,22,22
131,2022,BAYRAMPAŞA,İSMET PAŞA MAH,64,64
132,2022,BAYRAMPAŞA,KARTALTEPE MAH,152,152
133,2022,BAYRAMPAŞA,KOCATEPE MAH,67,67
134,2022,BAYRAMPAŞA,MURATPAŞA MAH,95,95
135,2022,BAYRAMPAŞA,ORTA MAH,67,67
136,2022,BAYRAMPAŞA,TERAZİDERE MAH,89,89
137,2022,BAYRAMPAŞA,VATAN MAH,44,44
138,2022,BAYRAMPAŞA,YENİDOĞAN MAH,82,82
139,2022,BAYRAMPAŞA,YILDIRIM MAH,130,130
140,2022,B.ÇEKMECE,AHMEDİYE MAH.,2,2
141,2022,B.ÇEKMECE,ALKENT 2000 MAH.,16,16
142,2022,B.ÇEKMECE,ATATÜRK MAH,237,237
143,2022,B.ÇEKMECE,BAHÇELİEVLER MAH,42,42
144,2022,B.ÇEKMECE,CELALİYE MAH,85,85
145,2022,B.ÇEKMECE,CUMHURİYET MAH,143,143
146,2022,B.ÇEKMECE,ÇAKMAKLI MAH.,23,23
147,2022,B.ÇEKMECE,DİZDARİYE MAH,49,49
148,2022,B.ÇEKMECE,EKİNOBA MAH,113,113
149,2022,B.ÇEKMECE,FATİH MAH,204,204
150,2022,B.ÇEKMECE,GÜZELCE MAH,68,68
151,2022,B.ÇEKMECE,HÜRRİYET MAH.,202,202
152,2022,B.ÇEKMECE,KAMİLOBA MAH,119,119
153,2022,B.ÇEKMECE,KARAAĞAÇ MAH.,84,84
