ilce,mahalle,anahtar,yil,S1_Skor,S1_Risk_Seviyesi,S2_Skor,S2_Risk_Seviyesi,S3_Skor,S3_Risk_Seviyesi,S4_Skor,S4_Risk_Seviyesi,S5_Skor,S5_Risk_Seviyesi,S6_Skor,S6_Risk_Seviyesi,S7_Skor,S7_Risk_Seviyesi,S8_Skor,S8_Risk_Seviyesi,S9_Skor,S9_Risk_Seviyesi
ÇATALCA,GÜMÜŞPINAR,ÇATALCA|GÜMÜŞPINAR,2023,0.03651608107234541,Düşük Risk,0.01858531055655482,Düşük Risk,0.08258838853667894,Düşük Risk,0.0026580222406724077,Düşük Risk,0.015076431008923048,Düşük Risk,0.01858531055655482,Düşük Risk,0.39004933181896534,Orta Risk,0.3519812821696768,Orta Risk,0.021824171536655123,Düşük Risk
ÇATALCA,HALLAÇLI,ÇATALCA|HALLAÇLI,2023,0.04067870092607694,Düşük Risk,0.020914596136478142,Düşük Risk,0.07750829558965931,Düşük Risk,0.008829926803626627,Orta Risk,0.01783344414945343,Düşük Risk,0.020914596136478142,Düşük Risk,0.39119463645313785,Orta Risk,0.35456625542907205,Orta Risk,0.024639108800895107,Düşük Risk
ÇATALCA,HİSARBEYLİ,ÇATALCA|HİSARBEYLİ,2023,0.013448069988620942,Düşük Risk,0.00872039208232966,Düşük Risk,0.06065481509628775,Düşük Risk,2.7892274868724027e-05,Düşük Risk,0.010924315369175937,Düşük Risk,0.00872039208232966,Düşük Risk,0.29859710196045697,Düşük Risk,0.19755542582838878,Düşük Risk,0.012326297368322945,Düşük Risk
ÇATALCA,KABAKÇA,ÇATALCA|KABAKÇA,2023,0.10710538145793017,Düşük Risk,0.03295030282197012,Düşük Risk,0.11235201299643197,Düşük Risk,0.0003179952614668185,Düşük Risk,0.030901101457546907,Düşük Risk,0.03295030282197012,Düşük Risk,0.43581377722846604,Orta Risk,0.38907145620721356,Orta Risk,0.037839695954865415,Düşük Risk
ÇATALCA,KALEİÇİ,ÇATALCA|KALEİÇİ,2023,0.3206751867665244,Orta Risk,0.08155242129853725,Orta Risk,0.20811502351493397,Orta Risk,0.017936417290209627,Orta Risk,0.07240946055643237,Düşük Risk,0.08155242129853725,Düşük Risk,0.5599218940097395,Yüksek Risk,0.5382709253552956,Yüksek Risk,0.08730958688887325,Orta Risk
ÇATALCA,KALFA,ÇATALCA|KALFA,2023,0.023292569104500428,Düşük Risk,0.015413710848821694,Düşük Risk,0.06941094575476509,Düşük Risk,0.00030381454814215435,Düşük Risk,0.014089286077627522,Düşük Risk,0.015413710848821694,Düşük Risk,0.36066628013231394,Düşük Risk,0.2823422138480672,Düşük Risk,0.021172868417892465,Düşük Risk
ÇATALCA,KARACAKÖY MERKEZ,ÇATALCA|KARACAKÖY MERKEZ,2023,0.04813548582493528,Düşük Risk,0.01944775864029113,Düşük Risk,0.0791680490256005,Düşük Risk,0.0031516522592159365,Düşük Risk,0.01617033372971752,Düşük Risk,0.01944775864029113,Düşük Risk,0.39777489808892197,Orta Risk,0.34935269648996714,Orta Risk,0.02391312948143586,Düşük Risk
ÇATALCA,KARAMANDERE,ÇATALCA|KARAMANDERE,2023,0.03826014124612221,Düşük Risk,0.018668717706844813,Düşük Risk,0.07702436150859003,Düşük Risk,0.0039736634060515,Düşük Risk,0.016528839911016367,Düşük Risk,0.018668717706844813,Düşük Risk,0.3849912403456788,Düşük Risk,0.3263725544410117,Düşük Risk,0.023922162509022467,Düşük Risk
ÇATALCA,KESTANELİK,ÇATALCA|KESTANELİK,2023,0.47924257657092945,Yüksek Risk,0.10462368969066767,Orta Risk,0.28129870352188996,Yüksek Risk,0.0004983871592366917,Düşük Risk,0.11769340859776883,Orta Risk,0.10462368969066767,Orta Risk,0.5288356023564593,Yüksek Risk,0.5143485206260027,Yüksek Risk,0.1065845317483595,Orta Risk
ÇATALCA,KIZILCAALİ,ÇATALCA|KIZILCAALİ,2023,0.00916132196733481,Düşük Risk,0.006382860353392134,Düşük Risk,0.05230547119637738,Düşük Risk,1.5342873678784348e-05,Düşük Risk,0.01025746230537166,Düşük Risk,0.006382860353392134,Düşük Risk,0.2890129276901876,Düşük Risk,0.1669142159812848,Düşük Risk,0.010409030611408202,Düşük Risk
